Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
19/06/2024,13,26,27,30,31,38,5,0,0,0,0,12,7875.3,38,1000,432,148.65,1843,90.45,6993,23.1,30748,11.2
15/06/2024,2,3,20,29,30,40,5,0,0,1,1000000,15,7053.3,44,1000,562,129,2708,69.5,8322,21.9,38738,10
12/06/2024,11,15,20,26,29,31,1,0,0,0,0,11,6828.75,66,1000,437,150.5,2634,64.8,6181,26.75,39614,8.9
08/06/2024,4,7,12,16,18,31,2,0,0,1,1000000,10,9610.4,61,1000,571,130.45,2891,66.9,8373,22.35,42248,9.45
05/06/2024,11,25,37,38,41,42,4,0,0,0,0,8,12446.1,34,1000,384,169.7,2003,84.45,6061,27.05,30294,11.5
01/06/2024,6,12,20,30,34,35,3,0,0,0,0,9,11709.15,44,1000,510,141.7,2251,83.35,8283,21.95,35875,10.8
29/05/2024,14,18,20,24,25,27,4,0,0,0,0,11,8927.7,36,1000,403,162,1908,88.85,6736,24.35,32335,10.8
25/05/2024,7,25,27,37,38,40,3,0,0,0,0,7,15431.65,40,1000,436,165.1,2030,92.05,8021,22.55,35107,11
22/05/2024,3,13,15,26,31,42,5,0,0,0,0,8,9306.05,51,1000,433,136.85,2072,74.25,6846,21.75,32624,9.75
18/05/2024,2,23,27,30,39,42,1,0,0,0,0,6,15154.3,50,1000,387,173.9,2305,75.8,5894,28.7,36537,9.85
15/05/2024,2,3,6,19,24,40,1,0,0,0,0,7,10669.15,49,1000,362,161.75,2305,65.95,5948,24.75,34964,8.95
11/05/2024,5,17,18,24,26,34,5,0,0,0,0,12,6503.75,53,1000,515,120.25,2304,69.75,7810,19.95,34285,9.65
08/05/2024,14,25,26,31,34,38,5,0,0,0,0,11,7685.05,43,1000,408,149.85,1823,87.05,6543,23.5,29190,11.2
04/05/2024,2,3,5,23,30,38,3,0,0,0,0,9,11297.25,39,1000,501,136.35,1885,94.05,8272,20.75,33196,11
01/05/2024,6,9,10,27,28,33,5,0,0,0,0,15,5710.4,42,1000,521,117.65,2450,64.95,8611,17.9,39794,8.25
27/04/2024,9,14,18,25,34,37,2,0,0,0,0,10,7510.85,73,1000,511,134.3,2407,74,7089,24.35,35763,10.3
24/04/2024,5,29,32,36,37,38,2,0,0,0,0,2,43899.8,33,1000,294,199.7,1501,101.55,5284,27.95,26334,11.95
20/04/2024,2,11,12,25,28,37,6,0,0,0,0,13,7733.8,31,1000,363,177.5,2216,75.5,6087,26.6,33510,10.3
17/04/2024,1,12,22,29,30,37,4,0,0,0,0,7,11941.6,33,1000,343,164.85,1620,90.6,5657,25.15,28090,10.8
13/04/2024,6,18,21,25,30,42,3,0,0,1,1000000,19,4498.55,48,1000,599,106.3,2375,69.6,7856,20.4,34352,9.95
10/04/2024,6,17,23,31,34,40,5,0,0,1,1000000,4,18391.35,42,1000,385,143.1,1886,75.85,6206,22.3,28757,10.25
06/04/2024,8,11,25,27,37,39,2,0,0,2,500000,7,9966.15,58,1000,429,139.2,2189,70.8,6395,23.45,32814,9.75
