Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
18/11/2023,3,11,16,17,30,39,4,0,0,0,0,12,6201.2,65,1000,419,155.1,2386,70.7,7180,22.75,37056,9.4
15/11/2023,2,8,10,13,30,32,5,0,0,0,0,7,10082.9,50,1000,440,129.2,2027,72.8,6855,20.85,31785,9.6
11/11/2023,4,10,19,21,28,38,6,0,0,0,0,13,6284.65,58,1000,426,154.6,2764,61.85,7181,23.05,40480,8.7
08/11/2023,6,13,17,20,32,40,5,0,0,1,1000000,7,11054.75,41,1000,484,117.05,2231,65.9,7009,20.3,33207,9.15
04/11/2023,7,8,21,28,31,41,5,0,0,0,0,22,3254.3,67,1000,655,98.25,2723,61.35,8993,18,39399,8.75
01/11/2023,3,5,8,10,20,42,3,0,0,0,0,13,5316.3,50,1000,680,82.5,2511,58,9133,15.45,36021,8.35
28/10/2023,16,17,19,23,34,41,3,0,0,0,0,14,6003.65,51,1000,516,124.4,2057,81,8337,19.35,32899,10.45
25/10/2023,2,5,7,16,27,33,6,0,0,0,0,7,8464.95,58,1000,392,138.55,2464,57.2,6057,22.55,35077,8.3
21/10/2023,4,8,9,22,25,34,4,0,0,0,0,22,2965.4,67,1000,648,94.3,2846,55.7,8272,18.55,38765,8.45
18/10/2023,1,3,7,9,36,39,4,0,0,0,0,9,8120.35,36,1000,401,130.6,2323,58.55,6077,21.65,31966,8.8
14/10/2023,15,19,31,36,39,41,6,0,0,0,0,8,11532.95,37,1000,379,165.3,1967,82.7,5547,28.4,30560,11
11/10/2023,2,4,13,17,25,38,2,0,0,0,0,14,5146.35,30,1000,353,139.9,1712,74.85,5425,22.9,25591,10.35
07/10/2023,4,14,18,31,33,41,5,0,0,0,0,9,6112.35,65,1000,429,128.25,1942,73.55,6374,21.7,28800,10.25
04/10/2023,13,14,28,30,37,38,1,0,0,0,0,5,12465.7,41,1000,243,201.25,1327,95.65,3834,32.05,23080,11.35
30/09/2023,12,14,19,31,32,35,5,0,0,0,0,8,9403.25,44,1000,338,167.95,1616,91.2,6024,23.7,27396,11.1
27/09/2023,5,6,11,18,40,41,4,0,0,0,0,8,8621.6,27,1000,257,181.2,1332,90.75,4448,26.3,23651,10.55
23/09/2023,8,14,22,25,29,37,3,0,0,0,0,9,6622.1,50,1000,394,129.95,1604,82.85,6167,20.85,26434,10.35
20/09/2023,2,12,27,30,31,40,6,0,0,0,0,8,6972.3,38,1000,307,144.3,1698,67.75,4431,25.15,24386,9.75
16/09/2023,7,18,21,25,27,39,1,0,0,0,0,5,12592.45,42,1000,318,156.1,2021,63.75,4566,27.35,30721,8.65
13/09/2023,16,19,22,23,35,40,1,0,0,0,0,3,20145.25,31,1000,216,202.85,1496,76.05,3755,29.35,23876,9.85
09/09/2023,9,21,23,28,32,33,1,0,0,0,0,13,3818.85,56,1000,373,130.15,2788,45.2,5290,23.05,35759,7.25
06/09/2023,10,19,21,34,35,42,3,0,0,0,0,8,7937.45,25,1000,423,101.5,1588,70.15,6081,17.75,23633,9.75
02/09/2023,1,5,8,16,39,41,6,0,0,0,0,6,12222.25,25,1000,298,161,1560,79.85,4762,25.35,26413,9.75
30/08/2023,12,15,18,29,36,37,6,0,0,0,0,5,13180.8,21,1000,259,164.15,1248,88.45,4248,25.15,21721,10.5
26/08/2023,3,9,11,16,24,28,2,1,19153857.65,1,1000000,22,2948,87,1000,655,105.55,3455,51.95,9109,19.05,47527,7.8
23/08/2023,6,10,17,25,36,42,4,0,0,0,0,7,10442.95,51,1000,379,154.5,1996,76.15,5993,24.55,31981,9.8
19/08/2023,1,3,5,8,13,34,4,0,0,1,1000000,11,4918.1,93,1000,510,129.55,2776,61.75,7258,22.9,40136,8.8
16/08/2023,15,31,33,39,41,42,5,0,0,1,1000000,14,5483.6,43,1000,399,143.25,1796,82.6,6270,22.9,28888,10.6
12/08/2023,9,11,13,15,27,29,2,0,0,0,0,16,3205.9,101,919.4,658,98.1,3467,48.35,8665,18.75,45340,7.65
09/08/2023,4,10,11,14,17,20,2,0,0,0,0,5,16712.25,36,1000,426,135.6,2298,65.25,6618,21.95,34896,8.85
05/08/2023,4,7,12,15,31,41,2,0,0,0,0,8,9668.85,56,1000,458,137.1,2363,69,6589,23.95,35695,9.4
02/08/2023,1,24,32,37,39,42,4,0,0,0,0,3,25621.1,29,1000,283,181.75,1531,87.2,4553,28.4,23562,11.7
29/07/2023,1,2,7,19,25,32,1,0,0,0,0,13,5971.2,44,1000,418,138.75,1940,77.6,5479,26.6,30541,10.15
26/07/2023,5,9,20,33,37,40,1,0,0,0,0,9,6097.2,57,1000,308,167.7,2091,64.1,4899,26.5,31150,8.9
22/07/2023,5,11,14,24,26,33,2,0,0,0,0,13,3392.1,86,928.25,445,124.7,2461,58.55,6447,21.65,34372,8.65
19/07/2023,24,31,34,40,41,42,4,0,0,0,0,10,6917.8,35,1000,314,159.1,1418,91.45,4654,27,23139,11.55
15/07/2023,8,16,24,30,31,35,2,0,0,0,0,4,17083.5,53,1000,407,139.85,1974,74.85,5846,24.5,29737,10.25
12/07/2023,10,21,26,27,38,40,1,0,0,0,0,2,33792.85,34,1000,246,198.1,1630,77.6,4411,27.75,27162,9.6
08/07/2023,7,13,18,20,23,40,2,0,0,0,0,8,9300.1,39,1000,377,144,2017,69.85,5887,23.2,31128,9.35
05/07/2023,1,20,21,25,28,42,4,0,0,0,0,2,39930.2,16,1000,267,178.4,1464,84.45,4802,24.95,25283,10.1
01/07/2023,10,16,24,25,29,34,5,0,0,1,1000000,15,5021.75,34,1000,362,145.6,1795,76.2,6006,22.05,27938,10.1
28/06/2023,2,9,24,26,30,32,2,0,0,0,0,7,10165.4,22,1000,337,135.4,1438,82.35,5012,22.9,24261,10.05
24/06/2023,2,7,13,16,39,40,2,0,0,0,0,7,9707.15,38,1000,319,158.5,1568,83.7,5710,22.25,26229,10.3
21/06/2023,1,4,8,25,29,36,6,0,0,1,1000000,6,8980.3,38,1000,384,112.85,1747,64.4,4507,24.15,22965,10.1
17/06/2023,3,14,18,19,28,39,5,0,0,0,0,7,7717.15,51,1000,440,110.8,1933,65.45,6051,20.25,28031,9.3
14/06/2023,9,10,12,14,21,22,2,0,0,1,1000000,9,5181,45,1000,360,118,1776,62.1,5609,19.05,27765,8.2
10/06/2023,4,7,14,27,40,42,4,0,0,0,0,18,2820.1,54,1000,495,97.6,2104,59.6,6478,18.75,30123,8.6
07/06/2023,12,13,21,24,27,28,3,0,0,0,0,9,6625.9,29,1000,373,114.15,1576,70.15,6292,17,24847,9.2
03/06/2023,5,6,9,16,32,35,5,0,0,0,0,4,17254.6,31,1000,430,112.15,1896,66.05,6620,18.3,28557,9.05
31/05/2023,6,8,19,27,31,42,4,0,0,0,0,9,4612.75,45,1000,289,137.9,1867,55.4,4749,21.1,25485,8.4
27/05/2023,9,10,20,33,36,42,3,0,0,0,0,9,6133.45,42,1000,460,99.25,1751,67.7,6478,17.7,26150,9.35
24/05/2023,10,14,19,20,21,26,4,1,8136733.85,0,0,8,9211.45,22,1000,272,172.55,1538,79.2,4983,23.65,25420,9.9
20/05/2023,2,12,16,18,21,38,5,0,0,0,0,10,7447.35,31,1000,363,140.6,1665,79.55,5590,22.95,26103,10.45
17/05/2023,15,20,21,29,36,42,4,0,0,0,0,16,4166.1,34,1000,256,188.5,1338,93.6,4764,25.45,24607,10.5
13/05/2023,14,15,23,32,35,41,1,0,0,1,1000000,13,3687.05,71,1000,401,134.25,2617,53.4,4848,27.9,32828,8.8
10/05/2023,10,19,22,25,29,42,4,0,0,0,0,3,21185,35,1000,324,145.25,1733,70.5,5016,23.6,26589,9.5
06/05/2023,17,21,22,28,30,41,4,0,0,0,0,8,8982.8,40,1000,361,147.9,1714,80.85,5563,24.15,29748,9.6
03/05/2023,15,21,24,34,36,37,3,0,0,0,0,6,11448.75,25,1000,337,135.3,1318,89.8,5149,22.25,21768,11.2
29/04/2023,7,9,12,15,18,34,5,0,0,0,0,8,9752.95,28,1000,376,137.3,1922,69.75,6571,19.75,29618,9.35
26/04/2023,1,5,7,15,32,37,1,0,0,1,1000000,5,13328.35,24,1000,241,183.1,1424,80.45,4261,26.05,23712,9.95
22/04/2023,7,13,17,34,37,38,4,0,0,0,0,14,4343.4,40,1000,352,135.55,1762,70.3,4825,24.85,25325,10.1
19/04/2023,8,27,28,30,33,34,1,0,0,0,0,3,23088.25,12,1000,212,191.25,1241,84.8,3513,29,22062,9.85
15/04/2023,9,14,23,36,37,39,4,1,6363432.2,0,0,5,15662.75,34,1000,331,163.9,1721,81.8,5407,25.2,27503,10.55
12/04/2023,3,9,11,23,35,42,4,0,0,0,0,6,7269.65,56,1000,400,113.65,2366,49.85,5707,20,31377,7.75
08/04/2023,2,8,17,19,30,39,3,0,0,0,0,7,9595.35,45,1000,460,115.3,1977,69.65,6746,19.75,28410,10
05/04/2023,5,8,14,19,29,33,5,0,0,1,1000000,10,5981.6,40,1000,539,87.55,2097,58.45,7009,16.95,29376,8.6
01/04/2023,5,13,21,24,27,34,2,0,0,0,0,9,6296.65,59,1000,447,119.45,2301,60.25,6434,20.85,32945,8.7
29/03/2023,14,16,20,23,25,28,4,0,0,1,1000000,8,7001.65,39,1000,281,159.55,1584,73.5,4877,23.1,24268,9.9
25/03/2023,2,11,13,33,37,40,6,0,0,0,0,11,4940.6,55,1000,311,162.55,1885,69.65,4962,25.6,27938,9.7
22/03/2023,11,16,20,27,35,42,6,0,0,0,0,15,2587.9,54,1000,345,122.2,1892,57.85,4739,22.35,25954,8.7
18/03/2023,1,3,4,7,9,23,3,1,7041890.85,1,1000000,42,1072.65,113,721.75,1007,56.3,3186,46.2,10516,13.55,36176,8.4
15/03/2023,3,9,15,25,28,33,6,0,0,1,1000000,12,4533.6,53,1000,459,108.4,2710,47.65,5863,21.35,33930,7.85
11/03/2023,1,2,10,19,23,33,4,0,0,0,0,9,6912.25,61,1000,449,127.1,2483,59.65,6332,22.65,34590,8.85
08/03/2023,3,5,16,20,25,37,2,0,0,0,0,8,8147.95,42,1000,336,151.15,1652,79.8,5176,24.65,26599,10.25
04/03/2023,2,6,12,13,30,35,5,0,0,0,0,5,16880,32,1000,354,159.75,1878,78.15,6061,23.45,30173,10.05
01/03/2023,2,8,14,23,32,42,5,0,0,0,0,12,4868.2,40,1000,463,100.4,2045,59,5885,19.85,27100,9.2
25/02/2023,1,4,10,22,23,42,6,0,0,0,0,6,12363.5,35,1000,380,138.25,2090,65.25,5923,22.3,31716,8.85
22/02/2023,3,11,16,20,34,35,3,0,0,0,0,14,3153.75,54,1000,487,92.2,1784,65.35,6815,16.55,25790,9.35
18/02/2023,12,22,26,34,37,40,3,1,25022220.7,0,0,14,6619.65,70,1000,626,122.1,2922,67.9,9204,20.85,42136,9.7
15/02/2023,5,9,19,29,30,35,3,0,0,0,0,14,5843.45,58,1000,553,119.2,2368,72.25,8874,18.65,36795,9.6
11/02/2023,1,6,9,31,32,33,6,0,0,1,1000000,8,13704.5,43,1000,424,174.65,2120,90.65,7502,24.8,38414,10.3
08/02/2023,7,13,17,19,20,34,2,0,0,0,0,7,12013.3,58,1000,551,121.75,2637,66.05,7921,21.3,40054,8.95
04/02/2023,20,26,27,33,35,39,3,0,0,0,0,11,10380.2,48,1000,634,123.7,2429,83.85,10152,19.4,40594,10.35
01/02/2023,2,13,14,17,32,39,4,0,0,0,0,15,5850.45,50,1000,472,139.15,2253,75.65,7170,23.05,36189,9.7
28/01/2023,6,19,27,31,39,42,2,0,0,0,0,13,6697.25,65,1000,492,145.3,2736,67.85,7513,23.9,39883,9.6
25/01/2023,4,11,24,36,39,41,2,0,0,0,0,11,8023.85,40,1000,432,143.1,1930,83.15,6202,25.05,31261,10.6
21/01/2023,24,28,29,38,39,41,3,0,0,0,0,13,7732.6,39,1000,396,171,1815,96.85,7118,23.9,31389,11.55
18/01/2023,3,11,16,32,33,37,6,0,0,0,0,11,8431.7,31,1000,335,180.4,2020,77.65,5859,25.95,34015,9.5
14/01/2023,15,18,26,28,31,33,1,0,0,0,0,8,12214.5,55,1000,426,171,2861,66.1,6526,28.05,42008,9.3
11/01/2023,10,18,20,22,26,34,3,0,0,0,0,17,3144.3,75,1000,651,89.6,2648,57.2,8226,17.8,35869,8.7
07/01/2023,8,19,20,22,23,29,3,0,0,1,1000000,11,8810.45,33,1000,547,115.9,2295,71.7,8762,18.2,36514,9.3
04/01/2023,12,15,28,29,33,40,4,0,0,0,0,10,6967.2,48,1000,434,128,2310,62.45,6589,21.2,34001,8.75
31/12/2022,4,11,27,30,35,41,3,0,0,0,0,9,10034.2,54,1000,565,121.5,2309,77.15,8823,19.55,37064,9.9
28/12/2022,5,23,24,27,29,37,6,0,0,0,0,4,21646.1,26,1000,297,185.85,1697,84.45,5352,25.95,28911,10.25
24/12/2022,2,6,9,15,35,36,4,0,0,0,0,6,16987.1,37,1000,382,177,2250,78,6857,24.8,36931,9.8
21/12/2022,24,27,33,34,40,41,3,0,0,1,1000000,7,12270.5,23,1000,389,137.85,1471,94.6,6779,19.9,26198,10.95
17/12/2022,10,14,19,35,39,40,5,0,0,0,0,8,10879.4,31,1000,414,138.85,1820,82,6687,21.6,29763,10.35
14/12/2022,15,25,26,27,36,37,4,0,0,0,0,6,11321.9,37,1000,255,196.6,1330,97.85,4565,27.6,23905,11.25
10/12/2022,4,19,21,23,25,28,1,0,0,0,0,5,13311.2,54,1000,292,193.25,1968,74.45,5014,28.3,31752,9.5
07/12/2022,3,22,25,35,36,42,1,0,0,0,0,6,11832.55,36,1000,258,198.85,1594,83.55,4435,29.1,27059,10.15
03/12/2022,1,3,12,16,23,40,5,0,0,0,0,9,9650.25,31,1000,420,136.65,1936,76.95,6770,21.3,31949,9.6
30/11/2022,1,4,8,16,33,38,5,0,0,0,0,6,10444.45,39,1000,322,149.85,1715,73.05,5593,21.7,26736,9.65
26/11/2022,6,8,9,10,12,29,6,0,0,0,0,14,3973.2,62,1000,564,95.9,2637,53.25,6903,19.7,35750,8.1
23/11/2022,7,19,23,29,37,40,4,0,0,0,0,1,66662.4,26,1000,307,146.45,1472,79.3,4653,24.3,23711,10.15
19/11/2022,8,17,24,31,36,37,1,0,0,0,0,4,16201.55,46,1000,289,180.75,1605,84.5,4160,31.55,26173,10.7
16/11/2022,4,28,29,30,31,32,1,0,0,1,1000000,6,11430.8,24,1000,201,224.5,1140,102.75,3443,32.95,21879,11.05
12/11/2022,16,20,24,27,32,38,1,0,0,1,1000000,5,15127.35,36,1000,318,168.85,2067,67.45,4503,29.95,30573,9.4
09/11/2022,4,8,13,25,30,36,2,2,17223220.55,0,0,12,8951.25,61,1000,654,122.8,2893,72.05,9377,21.55,43038,10
05/11/2022,2,6,11,19,27,31,6,0,0,0,0,26,3189.75,111,1000,761,116,3864,59.3,10261,21.65,55357,8.55
02/11/2022,16,20,21,29,30,33,6,0,0,0,0,13,8222.75,47,1000,548,135.55,3083,62.55,8128,22.95,45221,8.8
29/10/2022,5,22,27,29,37,42,4,0,0,0,0,11,10482.85,56,1000,461,178.55,2616,81.7,8595,24.05,44486,9.9
26/10/2022,8,22,28,29,33,35,6,0,0,0,0,4,22437.1,60,1000,453,156.3,2917,63,7593,23.45,44460,8.55
22/10/2022,7,12,20,24,27,32,6,0,0,0,0,9,11108.65,60,1000,515,147.7,2997,65.9,7862,24.3,44369,9.2
19/10/2022,2,6,12,17,18,20,6,0,0,0,0,16,5328.4,58,1000,537,126.05,2670,65.8,7989,21.3,38744,9.35
15/10/2022,10,11,15,23,24,35,3,0,0,0,0,13,7925.35,57,1000,695,109.95,2954,67.15,11088,17.3,43264,9.45
12/10/2022,1,13,17,29,33,38,5,0,0,1,1000000,8,9554.45,69,1000,535,126.5,2424,72.45,8190,20.75,36620,9.9
08/10/2022,3,13,14,33,37,40,4,0,0,0,0,14,7267.95,61,1000,560,138.2,2824,71.15,8169,23.8,41838,9.9
05/10/2022,1,2,5,8,13,24,1,0,0,1,1000000,18,4133.45,68,1000,484,136.8,2760,62.3,6803,24.45,40325,8.8
01/10/2022,15,16,23,32,34,37,1,0,0,0,0,9,12096.3,42,1000,390,187.8,2484,76.55,6201,29.7,39905,9.85
28/09/2022,12,17,19,20,27,30,2,0,0,0,0,10,8981.1,47,1000,496,132.05,2358,72.1,7682,21.45,37653,9.3
24/09/2022,3,12,14,28,30,38,5,0,0,1,1000000,16,4313.25,86,1000,594,119.25,2564,71.75,8201,21.7,37882,10
21/09/2022,2,3,8,25,38,41,5,0,0,0,0,4,22185.9,38,1000,369,166,1729,91.95,6622,23.25,30137,10.9
17/09/2022,1,5,8,10,33,37,3,0,0,0,0,8,13647.95,34,1000,537,130.55,2303,79.05,8717,20.2,36566,10.25
14/09/2022,10,14,22,25,26,42,5,0,0,0,0,9,7938.8,56,1000,498,120,2301,67.4,7283,20.65,33313,9.6
10/09/2022,3,5,14,26,27,34,5,0,0,0,0,17,4346.05,70,1000,677,98.65,2717,63.8,9491,17.7,40083,8.9
07/09/2022,1,25,30,33,36,42,1,0,0,0,0,3,28334.7,38,1000,318,186.55,1857,82.95,5103,29.2,28520,11.15
03/09/2022,2,8,9,23,36,40,3,0,0,1,1000000,10,8807.65,50,1000,521,126.4,2260,75.65,8729,18.95,35745,9.85
31/08/2022,5,6,8,11,37,39,6,0,0,0,0,5,16131.3,40,1000,324,178.75,1647,91.3,5744,25.35,30705,10.1
27/08/2022,3,11,16,29,38,42,2,0,0,1,1000000,18,4148.65,64,1000,471,137.4,2485,67.6,7023,23.15,36242,9.55
24/08/2022,5,7,36,37,40,42,2,0,0,1,1000000,3,26573.95,30,1000,312,170.9,1592,86.95,5087,26.35,26116,10.95
20/08/2022,1,2,7,13,28,33,6,0,0,0,0,7,10643.8,53,1000,462,130.1,2553,61.1,6451,23.4,35822,9
17/08/2022,7,8,16,19,28,36,4,0,0,0,0,7,8980.35,50,1000,475,111.35,2278,60.25,6713,19.8,32718,8.65
13/08/2022,7,15,18,23,32,41,3,0,0,0,0,22,2778.65,68,1000,632,93.95,2450,62.95,8252,18.1,32885,9.65
10/08/2022,3,4,5,10,21,35,5,0,0,1,1000000,13,5119.85,48,1000,484,111.5,2106,66.5,7517,18.05,33300,8.7
06/08/2022,1,2,15,18,32,40,6,0,0,1,1000000,14,6580.9,30,1000,343,174.05,1866,83.05,5397,27.8,30723,10.4
03/08/2022,15,17,21,27,35,38,6,0,0,0,0,10,5102.4,58,1000,387,129.4,2409,53.95,5547,22.7,31500,8.5
30/07/2022,5,14,19,20,21,36,1,0,0,0,0,6,15097.5,24,1000,329,171.55,1662,88.15,4865,29.15,28725,10.5
27/07/2022,1,3,10,17,24,32,2,0,0,0,0,13,4176.05,52,1000,349,141.25,1841,69.5,5554,22.3,27951,9.45
23/07/2022,1,4,7,15,20,36,4,0,0,0,0,4,20251.8,31,1000,371,146.6,1704,82.85,6114,22.35,28953,10.05
20/07/2022,1,6,13,25,34,42,4,0,0,0,0,12,3694.15,68,1000,357,142.15,2113,62.35,5341,23.9,28398,9.55
16/07/2022,2,6,10,11,17,33,5,0,0,1,1000000,10,7076.4,50,1000,460,123.8,2305,64.15,7332,19.5,35135,8.7
13/07/2022,7,10,24,26,28,36,5,0,0,0,0,10,6957,34,1000,399,124.7,1906,67.75,6225,20.1,28631,9.3
09/07/2022,3,4,10,23,26,27,3,0,0,0,0,11,5993.95,54,1000,585,95.9,2143,67.95,8948,15.75,32996,9.1
06/07/2022,4,7,12,19,21,35,6,0,0,0,0,7,5277.25,87,768.7,400,116.25,2406,50.15,5551,21.05,31613,7.9
02/07/2022,11,14,25,29,40,41,4,0,0,0,0,9,7440.8,39,1000,378,133.5,1791,73.15,5346,23.75,26556,10.2
29/06/2022,11,16,24,26,30,40,4,0,0,0,0,6,8287.55,42,1000,362,118.35,1813,61.35,4880,22.05,25275,9.1
25/06/2022,2,8,14,28,33,42,3,0,0,0,0,6,9517.85,44,1000,461,102.95,1977,62.3,6600,18.05,28292,9
22/06/2022,6,8,13,22,34,41,3,0,0,0,0,10,4133.7,45,1000,394,100.9,1665,62,5790,17.25,23321,9.15
18/06/2022,8,17,21,22,25,37,5,1,1500000,0,0,6,10943.3,31,1000,385,120.8,1603,75.3,6084,19.2,25645,9.7
15/06/2022,3,4,6,11,22,36,3,1,17916041.3,0,0,12,5190.15,58,1000,558,100.15,2020,71.8,8442,16.65,33003,9.05
11/06/2022,6,15,19,29,36,39,6,0,0,0,0,15,4750.8,64,1000,485,129.8,2410,67.8,6654,23.8,35020,9.65
08/06/2022,3,10,12,15,25,32,3,0,0,1,1000000,10,7028.9,47,1000,593,93.55,2074,69.4,8227,16.95,31003,9.6
04/06/2022,6,8,16,17,30,42,6,0,0,0,0,8,10160.8,54,1000,544,117.65,2390,69.5,7509,21.4,37447,9.15
01/06/2022,1,7,16,18,26,36,1,0,0,2,500000,15,4571.15,48,1000,650,84.6,2579,55.35,5862,23.6,30669,9.6
28/05/2022,7,10,12,13,40,42,4,0,0,0,0,10,7347.75,50,1000,379,153.9,2086,72.6,6341,23.15,33269,9.4
25/05/2022,10,19,20,30,38,40,4,0,0,0,0,15,3949.1,59,1000,542,100.95,2629,54.05,5763,23.85,28533,10.25
21/05/2022,5,11,20,29,35,38,6,0,0,0,0,8,8284.75,60,1000,427,137.6,2386,63.9,5708,25.85,32992,9.55
18/05/2022,2,3,5,15,22,28,6,0,0,2,500000,10,5058.15,64,1000,408,128.25,2367,57.4,5819,22.6,34488,8.15
14/05/2022,3,7,10,19,21,33,6,0,0,0,0,15,3391.05,99,930.15,612,104.6,3802,43.7,8127,19.8,46347,7.4
11/05/2022,5,6,12,19,23,29,3,0,0,0,0,16,4148.3,52,1000,532,104.35,2102,68.55,7859,17.75,32035,9.3
07/05/2022,2,5,6,15,27,36,3,0,0,0,0,15,4943.05,59,1000,547,114.05,2395,67.6,8599,18.25,35797,9.35
04/05/2022,7,15,27,35,36,41,3,0,0,2,500000,17,3226.2,59,1000,509,103.05,1951,69.8,7097,18.6,28929,9.7
30/04/2022,10,19,20,22,23,28,2,0,0,0,0,10,8621.3,35,1000,447,131.35,2083,73.15,7103,20.8,34072,9.25
27/04/2022,12,14,18,34,38,39,3,0,0,0,0,5,15685.2,22,1000,298,165.65,1269,101,5291,23.45,22909,11.55
23/04/2022,5,7,9,21,24,38,4,0,0,0,0,14,4488.05,52,1000,427,125.75,2491,55.95,6240,21.65,34705,8.3
20/04/2022,9,12,16,17,31,42,1,0,0,0,0,5,10566.1,42,1000,236,188.25,1458,79.1,4170,26.8,25457,9.35
16/04/2022,3,4,18,23,33,38,5,0,0,0,0,6,11892.35,34,1000,349,145.15,1675,78.5,5670,22.45,26842,10.1
13/04/2022,4,5,10,12,26,29,1,0,0,0,0,16,3017.5,52,1000,335,137.95,2073,57.85,4528,25.65,29851,8.3
09/04/2022,4,12,15,21,32,33,4,0,0,0,0,7,10504.75,37,1000,446,118.9,2018,68.2,6760,19.7,31767,8.95
06/04/2022,5,10,11,12,22,34,1,0,0,0,0,8,7767.8,34,1000,298,156.75,1948,61.2,4478,25.8,30202,8.15
02/04/2022,7,16,21,27,31,41,3,0,0,0,0,14,4611.75,53,1000,682,80.65,2311,61.75,9397,14.7,33417,8.8
30/03/2022,5,19,28,36,38,41,5,1,43093100.55,0,0,16,6694.35,98,1000,772,123.55,3187,77.7,10931,21.95,47312,10.8
26/03/2022,10,15,16,29,33,39,1,0,0,0,0,19,6177.65,107,1000,632,165.1,4337,62.45,9512,27.6,64623,8.65
23/03/2022,17,23,26,32,41,42,1,0,0,1,1000000,5,22978.1,75,1000,475,189.3,2977,78.4,8063,28.05,51802,9.3
19/03/2022,6,9,13,23,32,38,5,0,0,1,1000000,30,3094.45,113,1000,807,116.75,3683,66.4,11456,20.65,53014,9.5
16/03/2022,12,15,17,29,32,38,1,0,0,0,0,9,11881.3,77,1000,453,191.25,3334,67.45,7554,28.85,50934,9.1
12/03/2022,2,5,9,14,22,34,2,0,0,0,0,26,3032.05,132,1000,1022,92.75,4674,52.65,13448,17.7,61825,8.2
09/03/2022,1,4,13,15,19,25,1,0,0,1,1000000,23,4872.7,63,1000,675,123.75,2946,73.6,8252,25.45,45234,9.9
05/03/2022,1,8,10,15,19,39,4,0,0,0,0,13,10068.2,55,1000,542,165.9,3033,76.95,9554,23.65,50324,9.55
02/03/2022,6,17,23,27,28,39,4,0,0,0,0,16,7012.5,55,1000,582,137.95,3064,68.05,9610,21,48150,8.95
26/02/2022,18,19,29,33,35,40,5,0,0,0,0,10,11610.55,70,1000,697,126.95,3020,76.05,10476,21.25,46466,10.2
23/02/2022,11,15,17,20,30,31,6,0,0,0,0,14,6658.3,79,1000,535,150.3,3122,66.85,8052,25.1,45759,9.4
19/02/2022,13,22,29,31,35,40,2,0,0,0,0,20,5855.95,73,1000,705,128,3219,72.75,9516,23.85,47826,10.1
16/02/2022,3,8,22,26,30,32,1,0,0,0,0,8,11918.5,67,1000,519,147.55,3425,58.05,7275,26.45,49923,8.2
12/02/2022,12,14,26,29,31,42,1,0,0,0,0,12,10786.9,47,1000,456,188.3,2950,75.55,6955,31.05,46968,9.8
09/02/2022,6,18,27,35,39,42,1,0,0,0,0,15,5643.6,74,1000,485,152.5,3138,61.2,6943,26.75,43620,9.1
05/02/2022,5,13,14,35,36,41,6,0,0,0,0,11,9883.45,68,1000,431,194.55,2454,88.7,7228,29.15,40229,11.15
02/02/2022,2,6,15,21,30,36,4,0,0,0,0,17,5747.8,51,1000,456,156.15,2429,76.1,6982,25.65,37804,10.1
29/01/2022,1,4,5,14,35,37,4,0,0,0,0,13,9616.95,35,1000,438,179.6,2102,97.15,7492,26.4,37008,11.4
26/01/2022,4,6,14,15,26,38,5,0,0,0,0,9,11243.3,41,1000,462,149.1,2345,76.25,8202,21.1,37500,9.85
22/01/2022,15,24,25,31,32,41,2,0,0,2,500000,11,9543.9,60,1000,471,167,2298,88.85,7686,25.7,36949,11.4
19/01/2022,5,11,21,22,23,31,4,0,0,0,0,10,9219.45,48,1000,546,122.95,2687,64.85,7869,21.45,41621,8.65
15/01/2022,4,6,18,31,35,42,3,0,0,0,0,16,7421.85,36,1000,511,148.45,2293,85.85,8307,22.95,36796,11.05
12/01/2022,5,9,15,25,31,38,3,0,0,0,0,10,8432.2,48,1000,483,130.6,2015,81.3,7811,20.3,31844,10.6
08/01/2022,4,12,25,34,38,40,6,0,0,0,0,10,10634.35,38,1000,405,173.55,2062,88.5,6446,27.4,35024,10.75
05/01/2022,3,12,22,34,41,42,4,0,0,1,1000000,8,10589.25,50,1000,423,151.55,2549,65.3,6897,23.35,36881,9.3
01/01/2022,3,6,32,34,40,42,5,0,0,0,0,13,8428.85,27,1000,414,162.9,2116,82.75,7528,22.5,34627,10.45
29/12/2021,6,20,31,32,33,38,1,0,0,0,0,6,15858.75,30,1000,260,235.6,1393,114.15,4605,33.45,27943,11.75
25/12/2021,15,19,22,23,35,39,6,0,0,0,0,5,15184.2,54,1000,370,165.5,2251,70.6,5985,25.7,33674,9.75
22/12/2021,10,14,15,25,31,35,1,0,0,0,0,6,15018.35,31,1000,424,139.3,1905,80.5,5520,26.9,31138,10.15
18/12/2021,1,2,19,23,27,41,2,0,0,0,0,16,6152.7,36,1000,520,125.8,2221,76.45,7368,22.3,34691,10.1
15/12/2021,17,23,32,34,36,40,2,0,0,0,0,6,12719.7,40,1000,398,139.9,2116,68.3,6210,22.55,30543,9.75
